age,income,credit_score,years_employed,default
53.0,60771.47822377525,436,35,0
30.0,73513.91631318451,699,38,0
49.0,32333.2168776147,804,15,0
24.0,39796.07619209138,799,21,0
76.0,24808.110769973144,437,20,0
68.0,40924.05386012145,349,20,0
39.0,61428.784796534994,553,7,1
45.0,53189.83643574529,725,15,1
19.0,63017.735549947734,846,30,0
59.0,,601,9,0
62.0,36867.124597822,648,31,0
79.0,53069.15314287369,348,33,1
74.0,40960.28292042027,373,8,0
70.0,69527.73752240142,560,16,1
23.0,40588.716734337846,655,10,1
45.0,42569.1613560313,559,31,1
45.0,56282.591208027305,594,9,1
61.0,44160.677124087604,612,21,1
61.0,31475.8340969388,481,16,0
37.0,33509.66262751867,663,3,0
47.0,58066.489376104335,487,24,1
79.0,29619.327281569094,842,20,0
28.0,,847,36,1
75.0,39644.010735473756,707,37,1
72.0,59243.237254520915,713,0,0
45.0,40543.810639555486,641,24,0
42.0,36271.37930005453,519,35,0
56.0,53691.55523435273,462,16,0
79.0,65776.7520052385,519,23,0
50.0,46289.48373709843,569,1,1
18.0,49017.839693638096,699,39,0
74.0,62111.26041624202,481,14,0
44.0,62607.90875377334,504,31,0
79.0,,527,38,1
,43347.801612720665,549,5,0
69.0,51239.83939167547,740,0,1
30.0,47136.327629174855,832,22,0
58.0,54694.612277252774,495,38,0
20.0,32085.94359731371,818,16,1
56.0,54157.7236903812,369,33,0
,39225.44875743877,698,28,0
25.0,63588.314172357546,502,8,1
44.0,39912.98225944227,447,12,0
26.0,40173.35349213602,771,5,1
79.0,56680.982366176104,498,5,1
54.0,,725,19,1
50.0,84149.77439598256,791,2,1
68.0,25560.460841686214,441,16,1
,51647.794204321166,612,11,0
61.0,66944.74227458556,464,0,0
41.0,41325.29115609049,613,16,0
32.0,36341.6323289018,320,2,1
76.0,36937.030285305074,381,25,1
71.0,,430,14,1
49.0,70245.56940966043,604,35,1
49.0,45055.739872903876,670,31,0
41.0,43279.59290299654,683,31,0
58.0,18138.528885047395,744,3,1
69.0,28494.371413071727,724,17,1
66.0,71980.8463327864,460,18,0
79.0,54546.58499150868,477,34,1
66.0,67497.51244887659,789,39,1
75.0,65599.88659744745,626,13,1
69.0,34990.695791405895,588,32,0
29.0,86447.71592980954,653,13,0
79.0,79245.98893401845,327,33,1
56.0,41543.503368154474,342,3,0
19.0,-3523.0794903982314,722,23,1
20.0,44652.01865083885,476,28,1
66.0,53574.44393182173,828,18,0
54.0,41484.214478364636,793,5,1
66.0,46677.16854972924,497,32,1
73.0,37570.12945493308,816,39,0
34.0,63824.52077530771,813,18,1
76.0,50954.49860552833,321,0,1
66.0,64272.71094414431,411,4,1
19.0,68333.05019311905,356,26,0
19.0,,365,15,1
45.0,38442.166837488454,397,5,0
,40639.56059539184,443,39,1
40.0,88570.58539533174,734,12,1
,52235.08050350486,385,34,1
49.0,62188.40894544596,643,18,1
50.0,21789.62346088233,593,11,0
18.0,52148.23178746282,542,15,0
36.0,64674.394731743865,331,9,1
79.0,62929.47627590234,690,24,1
19.0,59350.99158374527,576,19,1
70.0,50195.007597426884,831,30,1
61.0,50923.52930938177,453,3,1
43.0,24601.00737935316,682,22,1
49.0,36492.00672219285,367,1,1
23.0,53464.15934582245,513,21,1
49.0,39260.36289610692,675,36,0
72.0,60332.57370549177,512,7,0
21.0,57001.73825397294,378,6,0
72.0,70510.5538208299,680,13,1
28.0,64373.80739228857,357,2,1
73.0,53408.92113701852,325,15,1
76.0,61219.706510928736,746,18,0
34.0,65076.53243449484,365,17,1
55.0,42388.440711380266,553,15,0
41.0,45060.03502520297,343,7,1
22.0,48547.60943909884,396,32,0
69.0,42867.04183753476,526,11,0
51.0,65235.30417595226,735,10,0
23.0,40590.34187484044,678,4,1
39.0,68774.77207099737,477,26,0
28.0,44495.40201679426,726,11,1
65.0,57085.94964259037,606,16,1
33.0,52496.22723144333,803,5,1
50.0,35360.302875625,567,32,1
26.0,49701.654057638145,307,4,1
77.0,55004.65297175896,807,27,0
76.0,49035.60969334253,775,13,1
23.0,29859.401622405738,596,4,1
33.0,75521.43865289257,463,32,1
46.0,51315.49224292604,784,18,1
20.0,38085.46137254717,371,21,1
37.0,74311.52035200912,537,4,0
77.0,59260.84714580488,403,1,0
76.0,31997.450053975863,509,29,1
53.0,34332.57880400182,767,38,0
36.0,46664.07920168237,753,3,0
43.0,54459.60468274733,567,32,1
20.0,59341.99747195883,685,12,0
36.0,64252.67719292852,686,19,1
37.0,58093.58609600214,558,6,0
49.0,70201.18967961494,582,14,0
24.0,51901.897395207045,339,22,0
69.0,38605.40929282667,785,13,1
58.0,49949.7369551154,519,22,0
50.0,,428,18,0
,11326.76855506262,819,28,1
56.0,41579.49711356512,559,19,1
35.0,54713.05599425676,665,28,0
57.0,43636.76652182321,843,23,1
18.0,,823,17,0
28.0,63670.64293706846,315,9,0
45.0,36251.81262836841,428,7,1
,60674.33975706234,408,25,1
42.0,30008.83293817573,832,28,1
67.0,,568,9,0
40.0,46764.71709648114,461,16,1
48.0,45151.02066055916,559,1,0
47.0,67145.98854334878,401,5,1
59.0,43719.42738790327,805,4,0
52.0,71823.91712488499,546,27,1
24.0,55573.9074572979,836,4,0
77.0,48224.03149180656,430,17,1
33.0,46624.91144944437,652,25,0
43.0,,495,19,1
65.0,53457.308219052546,681,26,1
74.0,56484.63096786155,526,11,0
69.0,58115.02808905443,775,6,1
77.0,51994.042778340365,776,2,0
,57798.08339524975,564,9,0
19.0,48225.14865978514,671,33,1
18.0,49252.87052260136,785,24,0
65.0,33213.27607959937,733,34,1
79.0,54466.40376377596,510,15,1
29.0,24206.884899316694,676,1,0
22.0,54253.37105916369,694,23,1
54.0,45790.75975752778,749,9,0
49.0,55618.77664176467,663,37,0
,34267.57498877486,756,21,1
72.0,18209.639479420366,525,25,1
26.0,44737.02039539691,430,38,0
58.0,34311.30996714353,775,26,0
52.0,23291.649751842764,576,28,1
36.0,61519.749045418546,455,37,1
65.0,74018.5734071306,517,19,1
33.0,38045.72846338175,489,26,1
20.0,48863.437591678194,716,19,0
37.0,45383.21574980282,845,18,1
41.0,40116.52367035695,340,19,0
71.0,59956.05820832032,606,34,0
73.0,65152.121906429275,637,1,1
50.0,36970.89216101594,613,29,0
41.0,50671.503006423554,374,33,1
69.0,69267.99550900841,578,21,0
28.0,60335.54304822459,475,2,1
66.0,62565.46157600733,572,5,0
25.0,70519.77961163622,588,14,0
53.0,70322.67758559875,571,26,1
55.0,,365,9,1
57.0,52174.06122171771,782,8,0
37.0,44262.75473812862,547,32,0
79.0,51552.16647969778,455,31,1
52.0,41983.89970964947,346,5,0
65.0,20712.696904839766,753,35,1
79.0,45807.514012999396,500,1,0
42.0,55362.89365755831,423,28,1
52.0,,300,3,0
42.0,47108.303191420884,490,0,1
46.0,47689.449260499016,815,18,1
35.0,70352.85161328333,741,25,0
63.0,44608.440889626465,442,24,1
35.0,70349.50073275181,490,9,0
19.0,9312.642622280393,832,14,1
71.0,70217.83671993554,526,21,1
52.0,69461.09172293937,612,20,1
33.0,63533.820100837875,601,21,0
78.0,19821.229951943427,759,35,1
58.0,65283.30492833722,700,33,0
53.0,49248.212364871244,692,29,1
50.0,12059.938401130094,506,24,0
21.0,69472.66561752044,509,27,0
50.0,71662.59617823453,414,0,0
31.0,21432.31892202243,550,3,1
38.0,52631.3161295017,518,6,0
65.0,70828.86682166274,706,8,1
37.0,68452.4197018572,742,35,0
73.0,62540.91576739286,653,18,0
25.0,10291.206801537373,849,0,0
24.0,60943.14149953721,441,9,0
20.0,46728.44152439086,800,35,1
34.0,64937.86293077742,846,8,0
50.0,53842.42187650737,841,31,0
,49701.77584566703,806,31,1
29.0,59613.557741138546,580,5,0
76.0,47421.29943392363,723,37,0
68.0,49635.84080162087,569,16,0
39.0,41671.64001306857,453,9,0
72.0,25918.865132231564,382,26,1
39.0,58517.80210656907,725,34,1
63.0,37909.54520494145,574,20,0
47.0,46988.122009388986,583,24,1
55.0,54304.609376809,472,27,1
55.0,18721.735346518417,626,14,0
62.0,22079.76644484765,362,3,1
68.0,45503.92135086196,372,28,0
71.0,56818.452234494835,674,8,1
25.0,61160.57405973742,807,26,1
44.0,26130.282561861393,697,25,1
44.0,59549.47226619223,419,18,0
51.0,46323.95572525496,736,27,1
38.0,36752.641323552845,764,16,0
47.0,,585,19,0
50.0,62027.8599806025,564,39,1
45.0,54110.08677628357,619,38,0
64.0,50754.59784132981,675,22,1
50.0,53652.4360821185,388,31,0
22.0,63921.4666492429,502,32,0
77.0,48543.50648895015,633,4,1
78.0,50814.78329681355,521,33,1
65.0,67072.56110206708,340,39,1
36.0,45026.20063605262,367,10,1
21.0,59272.108929210226,813,2,0
52.0,42444.43278990288,426,32,0
66.0,43761.98987882323,554,10,0
34.0,48439.25364800545,315,15,1
61.0,57729.09279480148,776,17,0
45.0,67912.72943826603,361,29,1
47.0,51448.178953081624,731,9,0
46.0,27502.446330146835,567,17,1
,59471.69440300907,334,37,0
70.0,86807.63261218564,793,18,0
23.0,51630.032466010256,768,35,1
52.0,24368.48541230631,624,12,0
77.0,52544.79334206277,603,2,1
58.0,49954.81095224241,575,9,0
54.0,,500,37,0
41.0,64181.14849965699,744,0,1
46.0,70674.12179503587,623,26,1
66.0,60253.78617801624,334,7,0
,48004.128729933975,781,16,0
70.0,66885.18176554445,779,8,0
48.0,27592.55538178639,364,5,0
52.0,39259.158188990084,307,24,0
77.0,40930.58332097405,600,38,0
50.0,49535.74028102098,642,27,1
69.0,57601.01993730257,730,32,1
78.0,46989.305774940745,723,36,1
38.0,,631,8,0
49.0,64622.754270441954,737,17,0
40.0,46468.149166929594,473,20,0
50.0,51531.9338130655,826,1,1
20.0,58266.016182138614,325,37,1
35.0,50583.1641188442,705,39,0
,50649.07542116435,531,35,0
59.0,65457.10130653744,832,36,1
48.0,52270.54211855565,849,14,1
71.0,62941.954786857335,804,27,1
75.0,58170.01166477585,478,17,0
20.0,80253.31316280374,431,33,0
57.0,56141.20126803695,754,21,0
63.0,59569.59905226159,647,10,1
41.0,66524.85070994552,839,12,1
67.0,50954.26639925255,705,3,0
49.0,40432.20354905839,375,21,0
64.0,42887.816283148146,791,6,1
39.0,43032.39611746268,493,23,0
40.0,35745.03547704923,461,3,1
19.0,54767.07753802826,646,27,1
44.0,40557.25177926374,660,14,0
59.0,52922.79231802771,386,0,1
19.0,47619.88334434046,561,2,0
,49375.677600612275,513,13,1
34.0,58340.84971743284,561,37,1
57.0,41871.51313417178,582,0,0
50.0,59583.3656890516,766,37,1
26.0,73509.61799958428,679,37,0
60.0,55146.63624427638,661,20,0
71.0,38268.56472091297,748,28,1
65.0,40774.72982990305,740,4,0
56.0,46276.056488223265,392,9,0
46.0,41076.64554395651,723,27,0
59.0,35132.29535584925,441,20,0
72.0,52316.10915442538,590,6,0
43.0,46682.04002411302,731,2,0
52.0,52845.81325337087,348,19,1
67.0,67795.81118322932,601,18,0
42.0,46454.70749113461,489,34,1
41.0,32218.699929795333,435,3,1
30.0,44016.61261619673,703,4,0
77.0,61556.37825674964,640,0,1
75.0,60151.55406075432,617,3,1
24.0,57779.59471420351,662,11,0
74.0,40629.39915256845,681,26,0
53.0,61278.53927049048,532,22,0
62.0,64653.48617055599,643,24,1
37.0,39568.67555165036,848,20,1
18.0,49376.44853686213,828,23,0
25.0,80306.02945523168,482,24,0
63.0,38901.885853049185,340,31,1
33.0,24423.69996134413,696,31,1
31.0,70743.56651697197,793,4,1
29.0,67049.0715755684,632,35,1
68.0,43145.49014633863,426,38,0
40.0,48305.1232719787,300,15,1
32.0,31625.974247165715,467,32,1
45.0,51334.284089145534,318,20,1
51.0,67488.705730571,631,8,1
19.0,41860.92737362583,755,5,0
49.0,63156.52968179439,408,34,0
40.0,,567,38,1
39.0,58667.253363217096,744,21,1
68.0,42735.362291204474,539,4,0
42.0,44680.637255997586,600,22,0
75.0,22298.413482928976,402,16,1
79.0,41499.95881234841,549,11,1
78.0,67452.28187046888,752,22,0
39.0,36060.017088465895,819,15,0
75.0,38295.47519214643,452,2,0
75.0,59602.84735560686,473,29,0
39.0,56041.5243798964,642,21,0
66.0,60347.94874694451,730,8,0
69.0,32551.69189864394,623,28,1
59.0,88460.8692395052,719,36,0
23.0,31763.699387491244,784,22,0
32.0,52313.709706011025,711,12,0
71.0,47620.167561971204,383,31,0
60.0,32200.37723952429,412,22,1
77.0,44446.858657801255,631,16,1
54.0,50349.61401328805,677,39,0
50.0,40250.40182204795,340,20,1
25.0,64058.35432302274,404,1,1
70.0,47575.613818062935,501,36,1
77.0,29880.8799347257,749,5,1
61.0,28608.117009960544,565,17,1
61.0,59092.476359171844,509,29,1
22.0,27698.438259494957,417,21,0
56.0,54746.39109573625,676,32,0
21.0,56669.82778500439,839,29,0
23.0,,383,16,0
62.0,63361.071256623356,753,31,0
49.0,24233.095643575518,813,13,1
69.0,54446.88400997838,686,9,0
47.0,49387.130996059874,649,35,0
64.0,48215.0303640366,595,33,1
52.0,32331.550355291412,557,8,1
72.0,35944.66993400111,380,27,0
57.0,74282.03037530897,567,10,1
69.0,68227.3251330763,718,13,1
33.0,61131.268827856984,534,38,1
30.0,64097.72155294532,610,18,1
67.0,62690.20317006903,656,14,0
77.0,45149.65681570687,512,27,1
59.0,50714.05327721527,348,23,0
47.0,27912.374329384867,426,7,0
36.0,48654.56559788711,522,8,1
34.0,67751.2137430878,578,32,1
73.0,40089.39127614297,707,32,1
36.0,,804,18,0
45.0,51373.78608040645,593,2,1
75.0,29219.422014954016,576,9,1
72.0,33390.207299805326,737,39,1
43.0,63789.54304561632,406,0,1
54.0,58287.861278875775,719,28,1
43.0,51526.46109481438,728,33,0
70.0,45889.52278628082,674,12,1
79.0,53158.51966442878,372,0,1
40.0,63204.443738798735,329,33,1
26.0,72137.79920730928,487,28,0
29.0,72855.26299160907,663,12,1
70.0,,750,28,0
18.0,47421.02464453219,494,38,0
75.0,52193.720117282835,455,23,1
75.0,57831.8053588262,471,25,1
18.0,57771.00415767637,340,16,1
64.0,69619.79955710158,362,6,0
51.0,81736.33582874983,322,12,0
49.0,46921.180555788706,659,4,0
79.0,82338.27363236694,374,25,0
71.0,,417,2,0
65.0,,679,6,0
42.0,72478.4725829762,589,38,1
57.0,75284.72452128747,739,0,1
62.0,43095.5683370923,306,16,0
70.0,75983.22878728472,495,24,1
18.0,66126.24231553945,720,2,1
33.0,85528.38691968788,492,14,0
78.0,43639.421270007515,447,28,0
56.0,,501,31,1
22.0,19600.0680538499,743,25,0
,58567.90880851943,718,15,0
46.0,55628.768834280774,726,24,1
72.0,41555.094926965,778,27,0
20.0,48772.23902767913,774,8,1
29.0,30331.68484737327,425,0,1
43.0,67976.67429247529,694,28,1
33.0,42654.50788207535,624,21,1
,96410.73523431427,691,15,1
54.0,47365.980489334506,739,6,0
39.0,38605.717384275355,503,13,0
74.0,43815.303218977075,785,28,0
46.0,28820.58535183623,330,18,0
31.0,,687,18,1
45.0,43701.50450331317,733,1,1
22.0,66968.79185596606,675,14,0
64.0,45878.787572383735,643,2,1
66.0,70766.6316752847,742,10,0
47.0,61361.83623975561,374,29,0
63.0,50428.95165077516,454,39,0
79.0,73703.48881026232,729,17,1
69.0,64284.40191555814,662,1,1
22.0,94193.19239994838,747,31,1
29.0,43858.17132532693,533,7,1
33.0,51149.24158187691,561,21,0
43.0,73530.63516516394,424,5,1
43.0,26846.932822473314,544,11,1
65.0,69754.15344848843,841,39,1
38.0,56589.54136522206,784,35,0
56.0,36676.83866829128,421,14,0
53.0,29554.405121733176,424,27,1
50.0,39912.65790304574,848,17,1
79.0,15727.706415116423,469,1,1
47.0,42656.908344627445,423,12,1
54.0,59338.345000138725,334,14,0
40.0,42855.49038546758,386,19,1
,70824.69052150712,500,28,1
27.0,74899.21404087932,668,28,1
71.0,69134.66723938662,376,2,0
22.0,53459.613653965476,358,18,0
53.0,15129.81091270296,730,2,1
51.0,39444.53761951091,799,13,1
69.0,47869.422098384195,408,39,1
48.0,36591.985257427834,577,3,1
27.0,47907.417867701435,367,10,1
75.0,74151.01203040069,368,30,0
36.0,25313.35205727023,464,31,0
75.0,77175.3808417854,788,26,0
49.0,63270.89632631206,604,29,1
18.0,54023.25212416543,664,1,0
73.0,39295.75166388854,678,8,0
22.0,36890.74481762862,642,27,0
62.0,25606.734281168905,653,30,1
21.0,75751.48220471581,715,33,1
33.0,73064.17340111062,408,14,0
41.0,28905.730571250766,796,24,1
33.0,41710.58007640698,640,35,0
72.0,56497.17153847863,682,7,0
19.0,45507.36292741688,832,8,0
66.0,21219.878644522734,599,36,0
45.0,40133.40859166467,438,38,1
49.0,79265.51447030029,658,31,1
44.0,41150.32114378334,798,16,1
37.0,47547.98994946689,684,34,1
41.0,32822.33863946929,579,36,0
29.0,58816.44477925622,782,18,1
67.0,51727.27698536876,410,28,0
52.0,38869.70387664532,438,6,1
77.0,30430.169062888624,734,27,1
50.0,71068.15061016314,808,8,1
50.0,25916.848900383797,572,27,0
78.0,57557.23543384332,398,5,0
68.0,17691.811329326403,403,28,0
60.0,,513,16,0
54.0,64554.48330890091,464,15,1
29.0,66421.75567459871,819,22,0
20.0,,583,30,0
18.0,73760.05408345544,816,2,1
50.0,84616.87542494101,463,20,1
57.0,,363,25,0
27.0,43234.92454805109,390,35,1
60.0,,416,36,0
61.0,42834.79781158689,566,21,1
46.0,40641.94705984819,439,11,0
30.0,41948.92189637736,545,12,0
29.0,75736.34012009368,694,10,0
48.0,61578.22992553148,786,15,0
63.0,42785.80809112863,775,7,0
19.0,13173.12461416571,816,39,1
78.0,26833.032595902987,483,39,0
68.0,,319,1,0
67.0,18176.66087916774,823,29,0
52.0,54394.90291177934,828,29,0
40.0,34016.544127024616,446,11,0
34.0,51377.0866187101,603,9,1
43.0,50957.84452001214,527,10,1
25.0,51808.84900836066,401,14,0
46.0,44083.672293822194,716,15,1
43.0,43590.715615884015,515,16,0
27.0,39188.14371595342,706,25,1
43.0,57258.38475862835,698,1,1
79.0,62077.89012171423,798,11,0
51.0,31715.412161958106,764,25,1
68.0,49225.57291561596,381,22,1
58.0,52948.73110231607,664,17,0
24.0,52756.56701934563,462,31,0
21.0,52501.544293947765,347,37,1
75.0,43969.47784482164,810,2,1
70.0,54185.456381938086,628,37,1
,59270.4306647543,415,2,0
62.0,52115.54983733846,636,29,1
28.0,57589.09754800586,446,0,1
46.0,64855.3011655626,622,29,1
73.0,22235.89463157098,742,31,0
53.0,64151.95762798051,312,27,0
42.0,55136.41647831912,793,20,0
38.0,33325.6200839191,586,12,0
78.0,62037.06323479533,413,26,1
,44025.18640964058,779,35,0
53.0,46070.503455221704,321,6,1
27.0,42384.80326301507,648,21,1
54.0,54535.98266357337,619,9,1
26.0,38219.7028623192,425,38,1
41.0,63522.119449216785,576,14,0
52.0,47917.06119207993,503,14,0
66.0,44536.96274768094,493,3,0
52.0,61293.135164209554,846,31,0
65.0,45206.64856521379,585,22,0
53.0,64222.65238043452,356,5,1
35.0,64693.89426261299,602,23,0
66.0,29977.942426715344,462,19,0
56.0,66638.90303334386,318,36,0
49.0,28069.460427471717,669,19,0
41.0,67573.70790323766,563,11,1
40.0,80425.35788345359,412,32,1
79.0,63122.51657403697,787,27,1
49.0,17645.290329504904,626,7,1
54.0,65953.48579079028,841,0,1
29.0,83691.93448904017,364,36,0
66.0,,591,21,1
72.0,49479.45019955165,324,5,1
30.0,32172.69917110352,848,20,1
40.0,54681.19128229504,300,31,0
42.0,69037.65773814694,848,34,0
52.0,60466.05692224181,440,14,1
58.0,97129.50465931698,487,4,0
47.0,50495.40564448696,427,5,0
34.0,25539.899488771036,500,24,1
66.0,52564.56457352329,426,39,0
79.0,13753.223521812652,556,28,0
37.0,42003.441127032296,846,6,0
65.0,74365.73087900318,493,39,1
42.0,54877.00472947657,403,12,1
39.0,52691.25219246903,834,37,1
30.0,77311.70565073035,564,17,0
76.0,45941.00162504945,683,1,1
36.0,68927.30619401163,559,7,0
66.0,,713,10,0
53.0,55700.711951885394,657,32,0
,31740.427162054806,374,37,1
78.0,42769.29807757675,654,26,1
58.0,29037.226507341897,487,19,1
36.0,48571.323826619824,589,11,1
29.0,55856.035158744,344,30,0
26.0,33349.42842362822,382,26,1
24.0,80737.68384027235,422,31,0
45.0,54171.59028637941,657,9,1
31.0,,827,2,1
,61544.86627018438,365,26,1
69.0,37566.07878701117,674,34,0
36.0,52452.1621875118,461,30,0
75.0,39247.00669463613,679,14,0
