feature_1,feature_2,feature_3,target
3.232029320207552292e-01,5.187906217433660983e-01,7.030189588951778479e-01,5.750203267457847378e-01
3.636296023792939813e-01,9.717820827209606716e-01,9.624472949421112311e-01,8.127005953382068770e-02
2.517822958253641552e-01,4.972485058923854506e-01,3.008783098167696624e-01,-1.275731517318362540e-02
2.848404943774676124e-01,3.688694735453279527e-02,6.095643339798968441e-01,1.217928547297714825e+00
5.026790232288614879e-01,5.147875124998935181e-02,2.786464642366114353e-01,1.425544461621777614e+00
9.082658859666536966e-01,2.395618906669724213e-01,1.448948720912230925e-01,2.100210470169466603e+00
4.894527602775630148e-01,9.856504541106007045e-01,2.420552715115004139e-01,-2.756197148470444502e-01
6.721355474058785529e-01,7.616196153287175807e-01,2.376375439923996691e-01,4.013739272995054952e-01
7.282163486118595763e-01,3.677831327192532251e-01,6.323058305935794765e-01,1.727997713594808804e+00
6.335297107608947043e-01,5.357746840747584782e-01,9.028977005440830261e-02,5.916250311324571243e-01
8.353024955892379699e-01,3.207800649717358343e-01,1.865185103998542315e-01,1.752363985290670501e+00
4.077514155476391622e-02,5.908929431882418148e-01,6.775643618422824144e-01,-4.601620167099257364e-01
1.658782892785615193e-02,5.120930582992809788e-01,2.264957751979379541e-01,-7.240795353524033251e-01
6.451727904094498589e-01,1.743664290049914412e-01,6.909377381024659481e-01,1.902119565179872351e+00
3.867353463005374081e-01,9.367299887367345201e-01,1.375209441459932513e-01,-3.474387048935967393e-01
3.410663510502585094e-01,1.134735212405890703e-01,9.246936182785627789e-01,1.384696136395859645e+00
8.773393533809810130e-01,2.579416277151556081e-01,6.599840460341790394e-01,2.350073756082107668e+00
8.172222002012158315e-01,5.552008115994623294e-01,5.296505783560064851e-01,1.633897299000085512e+00
2.418522909004516830e-01,9.310276780589921142e-02,8.972157579533267535e-01,1.402256259461164500e+00
9.004180571633304542e-01,6.331014572732679424e-01,3.390297910487006794e-01,1.557678952659742322e+00
3.492095746126608891e-01,7.259556788702393737e-01,8.971102599525770938e-01,5.556892115728112591e-01
8.870864242651173015e-01,7.798755458576238642e-01,6.420316461542877606e-01,1.556186820128845794e+00
8.413996499504883264e-02,1.616287140946137679e-01,8.985541885270792450e-01,6.233675710615360632e-01
6.064290596595899308e-01,9.197051616629647874e-03,1.014715428660321050e-01,1.627731260411837910e+00
6.635017691080558055e-01,5.061583846218686844e-03,1.608080514174986542e-01,1.879743071724538694e+00
5.487337893665861221e-01,6.918951976926932534e-01,6.519612595026005319e-01,6.867277419238253522e-01
2.242693094605597848e-01,7.121792213475358624e-01,2.372490874968000707e-01,-4.944832115646936033e-01
3.253996981592677251e-01,7.464914051180241428e-01,6.496328990472146625e-01,4.881423632731597684e-02
8.492234104941779327e-01,6.576128923003433657e-01,5.683086033354716182e-01,1.593856650923588747e+00
9.367476782809247560e-02,3.677158030594335214e-01,2.652023676817254483e-01,-1.591759267501660080e-01
2.439896433790835761e-01,9.730105547524455778e-01,3.930977246667604064e-01,-7.224404718648737012e-01
8.920465551771132873e-01,6.311386259972628920e-01,7.948113035416484173e-01,1.744343905269621020e+00
5.026370931051921120e-01,5.769038846263591092e-01,4.925176938188638998e-01,7.123826280157681268e-01
1.952429877980444983e-01,7.224521152615053232e-01,2.807723624408557939e-01,-5.441248357511523359e-01
2.431596643145383929e-02,6.454722959071678146e-01,1.771106794070489432e-01,-8.527794189707902373e-01
9.404585843529142952e-01,9.539285770025873745e-01,9.148643902204485201e-01,1.438549111311745898e+00
3.701587002554443950e-01,1.545661652886742843e-02,9.283185625877253822e-01,1.752397834819109157e+00
4.281841483173143281e-01,9.666548190436695664e-01,9.636199770892528438e-01,2.505100807494932136e-01
8.530094554673600671e-01,2.944488920695856882e-01,3.850977286019252599e-01,1.853618785318322804e+00
8.511366715168569019e-01,3.169220051562776641e-01,1.694927466860924881e-01,1.608889338256138668e+00
5.568012624583501546e-01,9.361547741607809670e-01,6.960297966749730003e-01,3.092648182777539834e-01
5.700611700893649658e-01,9.717649377076853501e-02,6.150072266991697401e-01,1.792819484098304494e+00
9.900538501042632777e-01,1.400840152365240288e-01,5.183296523637367370e-01,2.715588029922280988e+00
8.773730719279554391e-01,7.407686177542044392e-01,6.970157409952679739e-01,1.588422559771200504e+00
7.024840839871092646e-01,3.594911512197551673e-01,2.935918442644933624e-01,1.440063204505078298e+00
8.093611554785136164e-01,8.101133946791807539e-01,8.670723185801036959e-01,1.350722878365850033e+00
9.132405525564712967e-01,5.113423988609377968e-01,5.015162946871996041e-01,1.971024259355581343e+00
7.982951789667751541e-01,6.499639307777651531e-01,7.019668772577033478e-01,1.478346902025854837e+00
7.957926694361010522e-01,8.900053418175662978e-01,3.379951568515358051e-01,8.256832096727453330e-01
3.755829526399440121e-01,9.398193984086899988e-02,5.782801409961739747e-01,1.283224667417557585e+00
3.594227379674208578e-02,4.655980181324601563e-01,5.426446347075766230e-01,-1.757186519262038393e-01
2.865412521282844072e-01,5.908332605690107542e-01,3.050024993904942860e-02,-2.820459943159540628e-01
3.734818874921441711e-02,8.226005606596582531e-01,3.601906414112628907e-01,-9.415154163207897220e-01
1.270605126518847827e-01,5.222432600548043702e-01,7.699935530986108390e-01,1.220930503372618797e-01
2.158210274968431763e-01,6.228904758190002555e-01,8.534746499376799633e-02,-3.611644645907324813e-01
5.168172116860769716e-02,5.313546315681479948e-01,5.406351216101065171e-01,-3.693954656163563888e-01
6.374299014982065525e-01,7.260913337226615472e-01,9.758520794625346051e-01,1.060497224344215228e+00
5.163003483011953110e-01,3.229564729412459645e-01,7.951861947687036691e-01,1.360056700101293758e+00
2.708322512620742195e-01,4.389714207056361062e-01,7.845638134226595728e-02,1.083317976874469124e-01
2.535074341545751064e-02,9.626484146779250572e-01,8.359801205122058265e-01,-8.361992199416173888e-01
6.959742060936979779e-01,4.089529444142698811e-01,1.732943200708457754e-01,1.209886627348403687e+00
1.564370426710860462e-01,2.502428981645953288e-01,5.492266647061204710e-01,3.546200166287727940e-01
7.145959227000623359e-01,6.601973767177312657e-01,2.799338969459428395e-01,9.226501460963889567e-01
9.548652806631940937e-01,7.378969166957685122e-01,5.543540525114006856e-01,1.529375826128169580e+00
6.117207462343522417e-01,4.196000624277899105e-01,2.477309895011574614e-01,9.513615225044039780e-01
3.559726786512615870e-01,7.578461104643691160e-01,1.439348862975586840e-02,-4.257009196768812287e-01
1.160726405069162359e-01,4.600264202175274875e-02,4.072880231897013648e-02,2.931427577015985886e-01
8.554605840110072190e-01,7.036578593800236758e-01,4.741738290873251938e-01,1.424374303324321689e+00
9.783416065100147829e-02,4.916158751168323571e-01,4.734717707805656817e-01,-1.071325025748184057e-01
1.732018699100151826e-01,4.338516492379730360e-01,3.985047343973734391e-01,-1.046972794763175452e-01
6.158500980522164658e-01,6.350936508676437997e-01,4.530400977204451785e-02,5.000731974113608036e-01
3.746126146264712187e-01,6.258599157142363811e-01,5.031362585800877030e-01,3.057141292357816731e-01
8.564898411883222762e-01,6.586936316189450080e-01,1.629344270814296891e-01,1.014868171983740464e+00
7.056874740042984318e-02,6.424192782063156137e-01,2.651131054162181311e-02,-8.902323482899824336e-01
5.857755812734632972e-01,9.402302414249575913e-01,5.754741778758789561e-01,3.589315811058452765e-01
3.881699262065219092e-01,6.432882184423531768e-01,4.582528904915166290e-01,3.404150128184581514e-01
5.456167893159349358e-01,9.414648087765251638e-01,3.861026378007742510e-01,1.191688800144216076e-01
9.611905638239142124e-01,9.053506419560637397e-01,1.957911347892964393e-01,9.851602865165187684e-01
6.936130087516545473e-02,1.007780013774266514e-01,1.822182565154972789e-02,1.110565379783808315e-01
9.444296075592839568e-02,6.830067734163568494e-01,7.118864846022898707e-02,-1.083057679381291827e+00
3.189756302937613031e-01,8.448753109694545627e-01,2.327193573582586605e-02,-6.243307235943873490e-01
8.144684825889357827e-01,2.818547747733999298e-01,1.181648276216562543e-01,1.487041341017856677e+00
6.967371653641506457e-01,6.289428467798839906e-01,8.774720135270529520e-01,1.371145558938309250e+00
7.350710438038857708e-01,8.034809303848485795e-01,2.820345725713064855e-01,7.780725134705825941e-01
1.774395437797228192e-01,7.506147516408583353e-01,8.068347392672640117e-01,-2.337147010436948502e-01
9.905051420006732998e-01,4.126176769114264786e-01,3.720180857927831708e-01,1.967257299595369435e+00
7.764129607419968382e-01,3.408035402530178448e-01,9.307573256035647224e-01,2.437542474809632154e+00
8.584127518430118009e-01,4.289940273750183497e-01,7.508710677914973708e-01,1.956597088940329465e+00
7.545428740846823468e-01,1.031238688359326083e-01,9.025529066795666688e-01,2.688396314511027896e+00
5.052523724478571454e-01,8.264574661077416229e-01,3.200496010306117523e-01,1.289776632061066797e-01
8.955232284962004741e-01,3.892016787341631145e-01,1.083765148029836034e-02,1.534436191580795139e+00
9.053819764192636566e-01,9.128667678613355818e-02,3.193136375904148672e-01,2.452328503401925985e+00
9.500619670508049230e-01,9.506071469375561023e-01,5.734378881232861103e-01,1.408876274698574571e+00
6.318372121697992672e-01,4.484455219783197721e-01,2.932107716980645318e-01,9.665185433787797376e-01
3.286645453699159614e-01,6.725184560770384179e-01,7.523745294376800175e-01,3.044920856148837229e-01
7.915790437258485301e-01,7.896181427945538900e-01,9.120610304869036788e-02,8.033692327761263741e-01
4.944203047025814701e-01,5.755876001664428365e-02,5.495288823237355347e-01,1.661576295062220598e+00
4.415305013733770156e-01,8.877041827582997646e-01,3.509150125520786867e-01,2.074443710534205898e-02
1.170670164276058633e-01,1.429916820528358556e-01,7.615106317174722417e-01,7.864524455680966808e-01
6.182180633162610572e-01,1.011226761227902449e-01,8.410680611499743442e-02,1.630155135300321856e+00
7.009691314591199873e-01,7.276300636419352763e-02,8.218600592903562152e-01,2.386258631073356451e+00
7.062422271564962051e-01,8.134878064189976499e-02,8.483771408519191759e-02,1.725847698309779910e+00
9.866395785011754516e-01,3.742707957561203225e-01,3.706421470668909146e-01,2.196088663029315935e+00
8.127995672575025754e-01,9.472485773838587031e-01,9.860010638228708935e-01,1.294828408859124647e+00
7.533781852589416239e-01,3.762595855309157633e-01,8.350071669866876434e-02,1.403763528653691806e+00
7.771469159274367877e-01,5.584042497358050472e-01,4.242220092469762838e-01,1.399083995976304617e+00
9.063543850947359815e-01,1.111974823061513407e-01,4.926251042908591504e-01,2.599030837592670284e+00
1.135364476741906881e-02,4.686606419941262702e-01,5.630327568183735032e-02,-6.232160459953973719e-01
1.188179162680719214e-01,1.175262467771048813e-01,6.492103021160635645e-01,7.243849112095914755e-01
7.460448792654232886e-01,5.833687650971596250e-01,9.621725484745419221e-01,1.789512223548894276e+00
3.748705795237040617e-01,2.857120862818607332e-01,8.685991281894602789e-01,1.132172138740957790e+00
2.235958385194526388e-01,9.632225394406113139e-01,1.215447468981634138e-02,-1.122585052311555032e+00
9.698788267076390301e-01,4.315991195057611307e-02,8.911431136980710876e-01,3.237692364080455132e+00
5.277011090862998577e-01,9.929647961193003303e-01,7.379656473539886186e-02,-1.600073542433504692e-01
5.538542844013207844e-01,9.693025356190989594e-01,5.230978441701488180e-01,1.356643765313156336e-02
6.293986381352625337e-01,6.957486889846171696e-01,4.545410647677732285e-01,7.430244676301616114e-01
6.275580800840634410e-01,5.843143119231002380e-01,9.011580104909889810e-01,1.388965139624243283e+00
4.544638034145787042e-02,2.809631895922303224e-01,9.504114840765587324e-01,4.034214180076882150e-01
8.902637838909163159e-01,4.556567527857129374e-01,6.201325978015367335e-01,1.926910353594793346e+00
2.773811829811326790e-01,1.881211597237613109e-01,4.636984049399821561e-01,8.384675377478019165e-01
3.533522280260528170e-01,5.836561118508720725e-01,7.773463696498483788e-02,1.192639501042792316e-01
9.743948076661664848e-01,9.862107444796028854e-01,6.981617140197451388e-01,1.184591940535647980e+00
5.360963663441203897e-01,3.095276162863277447e-01,8.137950197069486746e-01,1.529411871011628232e+00
6.847311725538792748e-01,1.626169393448912981e-01,9.109271844938424678e-01,2.301541634721879781e+00
8.225372429231689875e-01,9.497999132919240362e-01,7.257195083883599684e-01,1.172852209481199726e+00
6.134151959357898587e-01,4.182430362906188748e-01,9.327284833540132603e-01,1.693893197470938361e+00
8.660638895004083571e-01,4.521867010618940697e-02,2.636697449725200482e-02,2.288158516611637161e+00
3.764633668780495990e-01,8.105533307818328925e-01,9.872761293149444617e-01,4.546569305820375440e-01
1.504168911035281830e-01,5.941307153521351303e-01,3.808908566310215127e-01,-1.599789383326800651e-01
9.699143978146032019e-01,8.421189231357086857e-01,8.383287047111378509e-01,1.683042892411230396e+00
4.686931597949702821e-01,4.148195023376651802e-01,2.734070719307062358e-01,7.184044049099154172e-01
5.637549665092711493e-02,8.647223762550532156e-01,8.129010091300775676e-01,-7.187498973690880089e-01
9.997176732861305926e-01,9.966368370739053795e-01,5.554317056026274457e-01,1.394986539286951377e+00
7.689874151805105029e-01,9.447657298824280181e-01,8.496473906774114626e-01,1.069005162496701189e+00
2.473481017431976570e-01,4.505441353100935187e-01,1.291594151514949829e-01,4.470804219170482208e-03
9.540510272587223728e-01,6.061746344508800455e-01,2.286428055034627205e-01,1.529072351404919150e+00
6.717006844058567294e-01,6.181282404578958278e-01,3.581627180328404991e-01,1.009422998631676949e+00
1.135575921996290205e-01,6.715731955927995989e-01,5.203077009037933021e-01,-3.497601238096975096e-01
7.723183917356393202e-01,5.201635011119933871e-01,8.521815003185401194e-01,1.714016234738275024e+00
5.519068387744855420e-01,5.609379715353862705e-01,8.766536026583450214e-01,1.121484044460266727e+00
4.034828662123970400e-01,1.340152284506407332e-01,2.878267631333897292e-02,8.040088128127732547e-01
7.551372556736190012e-01,6.203095513534646610e-01,7.040797680992235685e-01,1.532946088913124782e+00
2.129641615089107320e-01,1.363714755867697637e-01,1.454466566788192861e-02,4.999586496872466812e-01
3.505875588065969772e-01,5.899176868546330832e-01,3.922440450997323191e-01,2.569275556199481780e-01
4.374749220237290626e-01,9.041586944937484160e-01,3.482554670233003469e-01,-2.919941501022528529e-02
5.139894891598107973e-01,7.836530127411430735e-01,3.965427823212701597e-01,1.483670118523101322e-01
6.220867002278734903e-01,8.623637087467451723e-01,9.495206236576421155e-01,1.145062591935493090e+00
1.470734809290379363e-01,9.265876251614943993e-01,4.921162930795381918e-01,-7.040419755674420799e-01
2.582443882989583495e-01,4.591357562382613056e-01,9.800325752854770478e-01,7.421490517834030687e-01
4.926180939928695990e-01,3.287516102875082113e-01,6.334008543167257699e-01,1.226258661632670721e+00
2.401456187781930707e-01,7.586332810866391885e-02,1.288797219106492253e-01,4.766681590944384372e-01
1.280458389577724398e-01,1.519026935122943511e-01,1.388271726494101355e-01,1.046957942359827282e-01
6.408747448032146021e-01,1.818800843991448257e-01,3.456672833238632059e-01,1.795134836734308514e+00
8.967884099060118297e-01,4.739616402628723524e-01,6.675577385210271775e-01,1.938137757158470142e+00
1.723198712016298373e-01,1.922890188086707752e-01,4.086861626647886325e-02,3.986332488253074846e-02
1.689350630721645485e-01,2.785903390319586226e-01,1.770104842767468156e-01,3.782146856759593945e-02
8.870253375705561272e-02,1.206358711006008111e-01,4.607787680327257718e-01,3.115581694549436342e-01
2.063337184057925100e-01,3.642698610480754606e-01,5.034172708548568798e-01,3.511817334866751961e-01
6.903948286293652981e-01,3.931213984109893644e-02,7.994103989090426410e-01,2.487516844128207172e+00
6.279003894909077621e-01,8.175903194887190750e-02,8.735786241067772240e-01,2.155932148483083122e+00
9.208724005318131844e-01,6.107795985486375034e-02,2.768776481472037254e-01,2.310205924932666299e+00
8.062012797930613317e-01,7.482596903836583602e-01,1.845210193563773249e-01,9.387167745526391327e-01
2.093493233367103024e-01,3.704721027913819853e-01,4.845229851910213270e-01,3.240639865003642761e-01
6.182547715302959546e-01,3.689136395697724113e-01,4.625347161331478940e-01,1.435037441085122323e+00
7.474709381337565350e-01,3.668320289059789907e-02,2.524369443440207528e-01,1.988058320399766377e+00
7.133495858845524396e-01,8.952068376871993305e-01,5.116774421156661257e-01,6.960163605845741674e-01
5.321134852653156555e-01,1.071720113397760521e-01,4.474123668234546436e-01,1.535809387572452112e+00
5.326172664550231639e-01,2.424705036347296616e-01,2.692432309493809628e-01,1.170562628868308419e+00
3.772841631046226496e-01,2.007119777772636837e-02,3.220791655831782840e-01,1.159704452828523191e+00
2.114480069965446463e-01,3.274973521779146468e-01,1.197621318192512163e-01,2.419602662163190115e-02
8.905272807398949553e-01,5.935924535540486602e-01,6.791023191444895968e-01,1.643365349549711363e+00
7.891712386073382879e-01,4.984421989290572785e-01,8.692028808742369161e-02,1.147265896705618182e+00
5.371065418185477780e-01,5.868411180208791267e-01,7.454394741843299865e-01,1.087554307484947191e+00
4.316595462296793917e-01,1.275803027955637603e-01,2.837759057987244704e-01,1.202685217977480736e+00
3.630822963986350960e-01,6.459172413316012218e-01,5.707783046689118844e-01,2.762356025757564115e-01
3.560967258978462446e-01,9.865152487929796932e-01,6.057748193568871509e-01,-1.116881709640751563e-01
2.372267917359944800e-01,1.017824726204037411e-01,1.528591391843320269e-01,5.547395939811632370e-01
2.459577283845081341e-01,1.606813732595556710e-01,1.865670240513057632e-01,3.758616708846060916e-01
2.850951686938471008e-01,1.733735952947548231e-01,8.967654246264251672e-01,1.059853286251891458e+00
8.023374566164220845e-02,5.245113895702546714e-01,4.103968269896615118e-01,-1.999020615626593833e-01
9.823786169086063946e-01,1.120389021680523456e-01,3.978555990457416369e-01,2.586250075200887011e+00
9.694704332753688591e-01,8.655071258939802670e-01,8.170720709492799161e-01,1.566272380715749701e+00
2.579028270449398308e-01,1.708875873900658204e-01,6.686432199244309871e-01,7.300994498376720543e-01
9.293759891275857887e-01,5.567628930139297827e-01,5.716126894698998484e-01,1.851822864130679314e+00
2.799790936602841729e-01,7.694929331919369009e-01,1.870437485575233705e-01,-3.993757926741751674e-01
3.236792364042436754e-01,4.254364386164167788e-01,5.076103786844550214e-01,4.730363717740896923e-01
2.424097324150802368e-01,1.148368247392035357e-01,6.106200424416325934e-01,8.550352511651369003e-01
2.886305532402557716e-01,5.812382214226122779e-01,1.543627152742023112e-01,-1.825397264316920842e-01
4.811401018548174813e-01,5.325894325515858618e-01,5.182353682242690773e-02,4.684086043540175992e-01
3.366042781939205808e-01,1.344146769389742424e-01,6.337497047276774431e-02,5.307450563465171411e-01
9.899602323899452383e-01,3.223538449747229695e-01,8.098744458546348612e-01,2.591615942744753376e+00
2.546406547637638518e-01,6.815027222239292692e-01,7.602278598896865525e-01,2.833278569912068834e-01
5.956387406078442748e-01,4.715761885501583706e-01,4.118409141472685331e-01,1.107491782659258517e+00
3.488682665429952978e-01,9.295291442478258448e-01,8.306194077877291360e-01,5.744136952303627308e-02
9.650269106665125829e-01,1.242972234855447278e-01,7.308674752036442568e-01,2.794198110882510022e+00
9.383404568210378383e-01,1.812330661656601505e-01,6.649626736677749506e-02,2.100652051651115126e+00
7.411206492900590526e-01,5.744731131799118984e-01,8.418287767582720571e-01,1.580060323056412086e+00
1.397723766262894962e-01,7.952673118598901914e-01,2.016273200477445293e-01,-9.069975136601946542e-01
1.636559428657045068e-01,1.642657979309929406e-01,8.145747202313821100e-01,7.549995013596432214e-01
6.651972206962001311e-01,5.230654247691193248e-01,3.588304841235024911e-01,1.175138824981399432e+00
8.772005408131082760e-01,3.924451074226353864e-01,8.165994394715770932e-01,2.254743551717096395e+00
4.391349085702184185e-01,3.769444294249075789e-01,4.626797856696064359e-01,9.048949228861185023e-01
3.013778741641420789e-01,7.476093801762511148e-01,5.027203900924791524e-01,-4.987559122590004557e-02
2.322126951468173051e-01,8.995745732745684675e-01,3.838912213732114109e-01,-5.591510546829968620e-01
5.435528611139885946e-01,9.064721109645469399e-01,6.242379959139920942e-01,3.542218814692453810e-01
1.168980407083640705e-01,9.398321236134751233e-01,6.277080530714178597e-01,-7.886980057131787181e-01
3.349056146570861259e-01,1.392720726633872586e-01,7.940251892702959724e-01,1.233596150519111090e+00
6.200727559285135193e-01,5.334610919763215220e-01,8.938925830509576453e-01,1.306404444866687831e+00
7.885972112245307475e-01,1.516748797327511777e-01,3.117220677955482300e-01,1.881992276469351744e+00
2.484891398144657426e-01,7.439462925726769704e-01,3.353243473577938172e-02,-6.498484286852072023e-01
5.698896848713165264e-01,7.624586857406905338e-01,8.767656367617494562e-01,7.573295710611442910e-01
3.420817487159074632e-01,8.212573046720128556e-01,1.106317369552072272e-01,-5.795930733065697282e-01
8.464522917345181918e-01,1.274886623319824164e-01,3.972872905603672677e-01,2.361172554139773894e+00
7.972953657795536220e-01,1.499174273487737796e-01,2.292513952326414861e-01,1.967122992150725169e+00
7.222525683930662854e-01,7.200365365460743572e-01,6.411476328852973028e-01,1.113418505630754840e+00
6.939484444671000229e-01,5.427244433475961749e-01,2.517990589069527552e-01,1.266016156383550140e+00
3.456959935039194409e-01,1.815977168014256682e-01,9.084505613336283369e-01,1.208304398526337531e+00
5.833917947661204639e-01,4.008514167636398895e-01,4.620058036441326843e-01,1.290398429343015074e+00
9.472833396118153226e-01,1.533514031160801983e-01,5.862298320167972365e-01,2.623971204269377910e+00
5.058886788844659810e-01,6.114542354346478303e-01,1.811018382084050860e-02,3.200533647023013906e-01
8.721239089441514825e-01,9.321182824836123926e-01,5.651331835892089428e-01,1.115223929095606525e+00
6.966508238768922556e-01,9.224993811772956853e-01,7.072386343133986175e-01,6.226683763483610301e-01
1.525390429142613469e-01,5.762883601668131739e-01,6.067150463828558937e-01,-4.275301649747585697e-02
4.241306713023860198e-01,7.364442356247228316e-01,9.343670147690148475e-01,6.828573764500095455e-01
9.255685129067763306e-01,4.508393714041321054e-01,1.132380458407552526e-01,1.430210062284154482e+00
9.848411989623345741e-01,8.388980864459341102e-01,1.246626812032668452e-01,1.342577492910878467e+00
9.208418826173723204e-01,8.698963620621282811e-01,5.188380571260721164e-01,1.321355901868555005e+00
5.912754357449292453e-01,3.990027038701302597e-01,5.476163882203133326e-02,9.163682417365794919e-01
3.351972416459009230e-01,8.028534485980114432e-01,4.632023004602858762e-03,-6.392418767553555980e-01
3.334991716911441806e-01,3.981686935909433123e-01,5.373956029379228783e-01,7.095789449819492889e-01
9.198556164127604795e-01,3.463459943659612517e-01,3.469532018962276920e-01,2.132059178272677880e+00
7.375012481097483752e-01,4.522179408898071573e-01,2.246048229399819629e-01,1.302483784221467156e+00
4.524395161326933978e-01,1.408570203797998577e-01,1.763869865062233089e-01,1.049452987689598160e+00
4.983677727394797419e-01,4.189254495045479088e-01,9.148459010681000425e-01,1.267748666162416216e+00
3.623938991166331114e-01,5.805883502780434524e-01,6.322642879195303767e-01,4.664017196681537469e-01
1.309445658833363613e-02,6.635373720167105915e-01,1.780359668697514275e-01,-9.862479722007256866e-01
9.610703174694551487e-01,1.486627277531129554e-01,4.146241237270237301e-01,2.580310431586935405e+00
8.534966807864385885e-02,9.968742518459473567e-01,5.021950103312425862e-01,-1.114324141155122794e+00
5.953850173200437856e-01,6.707647738842748009e-02,7.499604703991777921e-01,2.105862027249398416e+00
2.099055930955857630e-01,8.980542894407137489e-01,2.051396404820071684e-01,-9.012011891494080551e-01
1.906877206636665711e-01,3.654966784809488001e-02,4.720669451099992475e-01,8.132098615004026421e-01
5.648411332626164238e-01,6.570863942835236671e-02,7.755276166950105798e-01,2.059977440855133235e+00
4.532888347480276137e-01,5.243902693275800386e-01,4.407627469382281449e-01,5.680654292589838450e-01
4.007630608753259827e-01,5.596403313082178865e-01,1.552402459307125060e-01,2.552889591997460350e-01
